"CODE";"KendalT.value";"KendalT.p.value";"N_ties.Station1";"N_ties.Station2";"Number_data";"R_Ties_sum";"ID_Station_1";"ID_Station_2";"Num_Syncr_occ";"Num_Asyncr_occ";"KT_.Asyncrony";"KT_pvalue_Asy";"KT_.Syncrony";"KT_pvalue_Sy";"Easting_1";"Northing_1";"Easting_2";"Northing_2";"Distance";"Area_1";"Area_2"
1;"0.0584615384615385";"0.694436508339236";"0";"2";26;"0";"10001";"12001";"6";"20";"0.0631578947368421";"0.724636220527281";;;"392436";"830912";"363482";"795613";"45671.318021639";"448.1";"1370"
4;"0.305263157894737";"0.0638078845341823";"0";"1";20;"0";"10001";"15004";"8";"12";;;;;"392436";"830912";"328000";"755900";"98922.0847781601";"448.1";"24.7"
8;"0.210526315789474";"0.208628397813868";"0";"0";20;"0";"10001";"15008";"9";"11";;;;;"392436";"830912";"334048";"747954";"101481.024811004";"448.1";"177.1"
9;"0.0735930735930736";"0.655597859052478";"0";"0";22;"0";"10001";"16001";"5";"17";"0.176470588235294";"0.348846402901288";;;"392436";"830912";"293313";"716652";"151312.160023829";"448.1";"590.5"
20;"0.0571428571428571";"0.742874104271325";"0";"0";21;"0";"10001";"21003";"2";"19";"0.111111111111111";"0.5339737003888";;;"392436";"830912";"325821";"640017";"202254.023594466";"448.1";"694"
26;"-0.0761904761904762";"0.654498892178173";"0";"0";21;"0";"10001";"21010";"3";"18";"-0.163398692810458";"0.368580540875301";;;"392436";"830912";"358823";"632088";"201718.24664238";"448.1";"2080"
33;"-0.178947368421053";"0.288378196376409";"0";"0";20;"0";"10001";"23001";"4";"16";"-0.166666666666667";"0.398414416048071";;;"392436";"830912";"403858";"561700";"269553.951398005";"448.1";"2175.6"
40;"-0.105263157894737";"0.542422144891093";"0";"0";20;"0";"10001";"24005";"5";"15";"-0.180952380952381";"0.379450395962797";;;"392436";"830912";"425904";"538688";"294242.592044967";"448.1";"178.5"
48;"0.390769230769231";"0.00469126570158274";"0";"1";26;"0";"10001";"27001";"4";"22";"0.333333333333333";"0.0308887937629689";;;"392436";"830912";"442802";"452991";"381401.196879819";"448.1";"484.3"
49;"0.152709359605911";"0.255032315576821";"0";"0";29;"0";"10001";"27002";"3";"26";"0.144615384615385";"0.313954327988493";;;"392436";"830912";"442215";"447311";"386958.26070276";"448.1";"758.9"
