;CODE;River_St_1;River_St_2;KendalT.value;KendalT.p.value;N_ties.Station1;N_ties.Station2;Number_data;X;R_Ties_sum;ID_Station_1;ID_Station_2;Num_Syncr_occ;Num_Asyncr_occ;N.SY.N.ALL;KT_.Asyncrony;KT_pvalue_Asy;X.1;KT_.Syncrony;KT_pvalue_Sy;Easting_1;Northing_1;Easting_2;Northing_2;Distance.x;Area_1;Area_2;Media;Max;Min;lag0;lag1;lag2;lag3;lag4;lag5;lag6;lag7;lag8;lag9;lag10;lag710;Station.number;Catchment.area;Station.level;Mean.GDF;Maximum.GDF;Base.flow.index;QMED;Maximum.altitude;Woodland;Arable.horticultural;Grassland;Mountain.heath.bog;Urban.extent;ASPBAR..Â..;BFIHOST....;DPSBAR..m.km.;LDP..km.;PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000;Distance.y;Class;SAAR_61.90;SAAR_41.70;Min.Altitude;X50.Altitude;Max.Min.Altitude
9;48;Ythan;Nidd;0.390769231;0.004691266;0;1;26;2;0;10001;27001;4;22;0.154;0.333;0.031;1.000;NA;NA;392436.000;830912.000;442802.000;452991.000;381.401;448.100;484.3;112,5;308;0;1;1;0;0;0;0;1;0;0;1;0;1;0.629606311;0.074380165;0.583333333;0.116883117;0.7625;0.333333333;0.583333333;0.457142857;0.151162791;0.660714286;0.32;0.85;0.818181818;0.225;0.327868852;0.24;0.315789474;0.119047619;NA;NA;0.972;0.959375;NA;NA;381.4011969;Depind;0.135416667;0.113402062;0.636842105;0.3125;0.452129222
13;55;Ythan;Don;0.365517241;0.004174921;0;0;30;2;0;10001;27021;6;24;0.200;0.304;0.039;1.000;NA;NA;392436.000;830912.000;456977.000;403973.000;431.945;448.100;1256.2;68,5;310;1;0;1;1;0;0;0;0;1;1;1;1;3;0.629880463;0.643312102;0.413333333;0.575;0.816129032;0.208333333;0.705882353;0.296296296;0.513333333;0.589285714;0.147058824;0.631578947;0.953846154;0.358333333;0.196721311;0.25974026;0.373493976;0.19047619;NA;NA;0.994166667;0.99;NA;NA;431.9447165;Depind;0.036144578;0.069767442;0.231884058;0.083333333;0.302225547
4512;32752;Wharfe;Irwell;0.368421053;0.00079318;1;0;39;2;0;27002;69002;18;21;0.462;0.248;0.125;1.000;0.556;0.001;442215.000;447311.000;382419.000;398759.000;77.053;758.900;559.4;15;360;0;4;8;3;0;0;1;1;0;1;0;0;1;0.608678009;0.263504611;0.416666667;0;0;0.163265306;NA;0.314285714;0.227272727;0.516666667;0.177419355;0.633333333;0.842307692;0.222222222;0.093023256;0.172727273;0.436363636;0.203703704;0.155844156;0.082352941;0.909090909;0.9;0.341463415;0.313253012;77.05316538;Depind;0.076923077;0.076923077;0.538461538;0.230769231;0.340116279
5071;34571;Don;Harpers Brook;0.302987198;0.007085103;0;0;38;2;0;27021;32003;13;25;0.342;0.240;0.098;1.000;NA;NA;456977.000;403973.000;498360.000;279840.000;130.888;1256.200;74.3;31,5;269;0;4;3;1;2;0;1;2;0;0;0;0;0;0.155672906;0.941082803;0.853333333;0.973125;0.9;0.175438596;0.923529412;0.722222222;0.285714286;0.557692308;0.206896552;NA;0.823076923;0.3;0.163265306;0.506493506;0.674698795;0.117647059;0.293333333;0.136363636;0.9325;0.869230769;0.227272727;0.275;130.887949;Depind;0.225;0.225;0.829032258;0.25;0.777445296
5406;35684;Rother;Pymmes Brook;0.411255411;0.006938579;0;0;22;2;0;27025;38022;2;20;0.091;0.411;0.011;1.000;NA;NA;443213.000;385749.000;534050.000;192540.000;213.554;352.200;42.6;108,5;242;1;0;1;0;0;0;0;1;0;0;0;0;0;0.289227289;0.877840909;0.620689655;0.89047619;0.8875;0.127272727;0.612244898;0.641025641;0.118181818;0.872413793;0.533333333;0.170212766;0.616438356;0.172043011;0.510204082;0.420289855;0.58974359;0.236842105;0.887640449;0.064516129;0.761904762;0.775862069;0;0.063829787;213.5540293;Depind;0.118421053;0.118421053;0.59375;0.45;0.645251397
6506;42544;Trent;Bedford Ouse;0.415019763;0.005083777;2;1;23;2;0;28012;33002;3;20;0.130;0.389;0.016;1.000;NA;NA;413210.000;317720.000;505353.000;249560.000;114.649;1229.000;1460;53;331;1;0;1;1;0;0;0;0;1;0;0;0;0;0.151202957;0.158219178;0.553571429;0.153846154;0.571428571;0.231884058;NA;0.242424242;0.290909091;0.509803922;0.354166667;0.96969697;0.54375;0.477777778;0.134615385;0.261904762;0.478571429;0.142857143;0.194805195;0.081395349;0.661538462;0.567901235;0.291666667;0.266666667;114.6494607;Depind;0.146666667;0.144736842;0.586206897;0.166666667;0.169117647
6508;42547;Trent;Bedford Ouse;0.422924901;0.004244768;2;1;23;2;0;28012;33009;3;20;0.130;0.389;0.016;1.000;NA;NA;413210.000;317720.000;494993.000;256463.000;102.214;1229.000;1320;54;330;0;1;1;0;0;0;0;1;0;0;0;0;0;0.151382956;0.068939394;0.267857143;0.261538462;0.142857143;0.231884058;0.273809524;0.242424242;0.290909091;0.5;0.354166667;0.96969697;0.5625;0.544444444;0.134615385;0.261904762;0.239583333;0.142857143;0.207792208;0.093023256;0.692307692;0.592592593;0.291666667;0.275;102.2141345;Depind;0.146666667;0.131578947;0.310344828;0.166666667;0.227941176
8139;53916;Willow Brook;Hogsmill;0.384057971;0.008157515;2;2;24;2;0;32002;39012;2;22;0.083;0.377;0.014;1.000;NA;NA;506700.000;293300.000;518192.000;168783.000;125.073;89.600;69.1;95;285;0;1;0;0;0;0;1;0;0;0;0;0;0;0.179688301;0.233333333;0.593333333;0.272727273;0.066666667;0.013513514;0.530769231;0.263157895;0.133333333;0.819047619;0.259259259;0.928571429;0.588235294;0.676470588;0.383333333;0.09375;0.447368421;0.166666667;0.038461538;0.033333333;0.695238095;0.64516129;0.457142857;0.4;125.073142;Depind;0.104477612;0.102941176;0.56875;0.395604396;0.32277444
8189;54028;Willow Brook;Stour (Worcs);0.36;0.009565303;2;2;26;2;0;32002;54006;4;22;0.154;0.290;0.062;1.000;NA;NA;506700.000;293300.000;383010.000;276830.000;124.823;89.600;324;103,5;333;0;3;0;0;0;0;0;1;0;0;0;0;0;0.407436211;0.722222222;0.5;0.714285714;0.666666667;0.04109589;0.678947368;0.548387097;0.066666667;0.5;0.259259259;0.571428571;0.416666667;0.56;0.439393939;0.516666667;0.191489362;0.166666667;0.096385542;0.043956044;0.623529412;0.52173913;0.142857143;0.142857143;124.8229451;Depind;0.130434783;0.128571429;0.466666667;0.172727273;0.557142857
8273;54216;Harpers Brook;Nene/Kislingbury;0.42780027;8.23E-05;0;1;39;2;0;32003;32006;18;21;0.462;0.371;0.019;1.000;0.503;0.003;498360.000;279840.000;472080.000;259190.000;33.432;74.300;223;23;336;0;9;6;1;0;0;1;0;0;0;1;0;1;9.37E-05;0.668161435;0.516129032;0.692857143;0.184210526;0.189655172;NA;0.318181818;0.59047619;0.057692308;0.342857143;NA;0.342857143;0.127272727;0.088888889;0.191489362;0.15625;0;0.116666667;0.037974684;0.46;0.413793103;0.153846154;0;33.4318524;Depind;0.046153846;0.088235294;0.491803279;0.307692308;0.251572327
8315;54297;Harpers Brook;Mimram;0.373333333;0.008520237;0;1;25;2;0;32003;38003;2;23;0.080;0.336;0.025;1.000;NA;NA;498360.000;279840.000;528256.000;213276.000;72.985;74.300;133.9;98;306;0;1;1;0;0;0;0;0;0;0;0;0;0;0.157882272;0.447761194;0.361702128;0.188679245;0.922580645;0.494623656;0.846153846;0.210526316;0.380952381;0.071428571;0.217391304;NA;0.646153846;0.153846154;0.430555556;0.136363636;0.15625;0;0.196969697;0.095238095;0.811627907;0.738461538;0.218181818;0.35;72.9849206;Depind;0.060606061;0.03125;0.354166667;0.25;0.161971831
8361;54410;Harpers Brook;Avon;0.384126984;0.000800046;0;0;36;2;0;32003;54002;14;22;0.389;0.351;0.023;1.000;NA;NA;498360.000;279840.000;404007.000;243741.000;101.056;74.300;2210;29;338;0;3;6;4;0;0;1;0;0;0;0;0;0;0.407373801;0.966515837;0.333333333;0.973125;0.924390244;0.078431373;0.927777778;0.53125;0.476190476;0.153846154;0.323529412;NA;0.581818182;0.620689655;0.024390244;0;0.792307692;0.033333333;0.283783784;0.105882353;0.807142857;0.653061224;0.090909091;0.083333333;101.0561901;Depind;0.046153846;0.074626866;0.322580645;0.0625;0.602006689
8375;54440;Harpers Brook;Lugg;0.407258065;0.000846007;0;9;32;2;0;32003;55003;11;21;0.344;0.324;0.042;1.000;NA;NA;498360.000;279840.000;354871.000;240585.000;148.812;74.300;885.8;29;287;0;1;1;0;3;3;1;0;0;1;0;1;2;0.41815901;0.916478555;0.333333333;0.960909091;0.617283951;0.265625;NA;0.772727273;0.476190476;0.5;0.589285714;NA;0.608695652;0.153846154;0.305084746;0.6;0.7;0.142857143;0.037735849;0.092105263;0.086419753;0.676470588;0.354545455;0.4;148.8124404;Depind;0.234567901;0.295454545;0.340425532;0.4375;0.805872757
8645;55069;Nene/Kislingbury;Ash;0.346031746;0.002685803;2;1;36;2;0;32006;38002;13;23;0.361;0.249;0.102;1.000;NA;NA;472080.000;259190.000;539360.000;214840.000;80.601;223.000;78.7;36,5;337;0;3;2;1;0;1;2;0;0;2;2;0;4;0.157781169;0.64573991;0.419354839;0.792857143;0.710526316;0.086206897;NA;0.363636364;0.034883721;0.3;0.485714286;NA;0.5;0.435294118;0.117647059;0.255319149;0.21875;0.032258065;0.216666667;0.139240506;0.133333333;0.517241379;0.407692308;0.291666667;80.60084345;Depind;0.046153846;0.073529412;0.393442623;0.284615385;0.352201258
8648;55072;Nene/Kislingbury;Canons Brook;0.384946237;0.002036127;1;1;31;2;0;32006;38007;4;27;0.129;0.299;0.029;1.000;NA;NA;472080.000;259190.000;543166.000;210394.000;86.241;223.000;21.4;121;302;0;1;1;0;0;1;0;0;0;0;1;0;1;0.157891967;0.905829596;0.387096774;0.878571429;0.857894737;0.327586207;NA;0.5;0.14;0.551020408;0.371428571;NA;0.833333333;0.717647059;0.222222222;0.382978723;0.75625;0.032258065;0.210526316;0.048192771;0.911764706;0.884;0.323076923;0.241666667;86.2414808;Depind;0.076923077;0.102941176;0.360655738;0.438461538;0.553459119
8666;55116;Nene/Kislingbury;Brent;0.365418895;0.002084899;2;0;34;2;0;32006;39093;7;27;0.206;0.339;0.013;1.000;NA;NA;472080.000;259190.000;520194.000;185052.000;88.405;223.000;117.6;122;342;1;0;3;1;0;0;2;0;0;1;0;0;1;0.181285652;0.470852018;0.596774194;0.314285714;0.421052632;0.586206897;NA;0.318181818;0.054945055;0.918367347;0.485714286;NA;0.897058824;0.435294118;0.555555556;0.191489362;0.40625;0.033333333;0.318181818;0.159574468;0.959459459;0.939583333;0.323076923;0.266666667;88.40466835;Depind;0.044117647;0.014492754;0.557377049;0.476923077;0.226415094
