;CODE;River_St_1;River_St_2;KendalT.value;KendalT.p.value;N_ties.Station1;N_ties.Station2;Number_data;X;R_Ties_sum;ID_Station_1;ID_Station_2;Num_Syncr_occ;Num_Asyncr_occ;N.SY.N.ALL;KT_.Asyncrony;KT_pvalue_Asy;X.1;KT_.Syncrony;KT_pvalue_Sy;Easting_1;Northing_1;Easting_2;Northing_2;Distance.x;Area_1;Area_2;Media;Max;Min;lag0;lag1;lag2;lag3;lag4;lag5;lag6;lag7;lag8;lag9;lag10;lag710;Station.number;Catchment.area;Station.level;Mean.GDF;Maximum.GDF;Base.flow.index;QMED;Maximum.altitude;Woodland;Arable.horticultural;Grassland;Mountain.heath.bog;Urban.extent;ASPBAR..Â..;BFIHOST....;DPSBAR..m.km.;LDP..km.;PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000;Distance.y;Class;SAAR_61.90;SAAR_41.70;Min.Altitude;X50.Altitude;Max.Min.Altitude
8125;53898;Willow Brook;Lee;0.354589372;0.00041324;0;0;46;2;0;32002;38001;13;33;0.282608696;0.390151515;0.001178153;1;NA;NA;506700;293300;539074;209193;90.13911293;89.6;1036;44;332;0;5;2;1;0;0;1;0;2;0;1;1;2;0.157864267;0.913127413;0.464285714;0.818181818;0.883333333;0.178082192;0.864444444;0.391304348;0.266666667;0.236363636;0.05;NA;0.285714286;0.266666667;0.339285714;0.216216216;0.415384615;0.137931034;0.053333333;0.022988506;0.109375;0.3;0.142857143;0.214285714;90.13911293;Depind;0.047619048;0.046875;0.384615385;0.080808081;0.392156863
8126;53899;Willow Brook;Ash;0.448717949;2.59E-05;2;2;40;2;0;32002;38002;14;26;0.35;0.415384615;0.002534496;1;NA;NA;506700;293300;539360;214840;85.0017948;89.6;78.7;37,5;332;0;2;8;1;0;1;2;0;0;0;0;0;0;0.157886427;0.122222222;0.583333333;0.6375;0.214285714;0.273972603;0.102941176;0;0.446666667;0.4;0.1;NA;0.833333333;0.352941176;0.274509804;0.171428571;0.342105263;0.193548387;0.373333333;0.218390805;0.796875;0.872727273;0.45;0.392857143;85.0017948;Depind;0.032258065;0.031746032;0.567567568;0.021505376;0.169354839
8273;54216;Harpers Brook;Nene/Kislingbury;0.42780027;8.23E-05;0;1;39;2;0;32003;32006;18;21;0.461538462;0.371428571;0.018676037;1;0.503267974;0.0029857;498360;279840;472080;259190;33.4318524;74.3;223;23;336;0;9;6;1;0;0;1;0;0;0;1;0;1;9.37E-05;0.668161435;0.516129032;0.692857143;0.184210526;0.189655172;NA;0.318181818;0.59047619;0.057692308;0.342857143;NA;0.342857143;0.127272727;0.088888889;0.191489362;0.15625;0;0.116666667;0.037974684;0.46;0.413793103;0.153846154;0;33.4318524;Depind;0.046153846;0.088235294;0.491803279;0.307692308;0.251572327
8313;54295;Harpers Brook;Lee;0.408637874;7.58E-05;0;0;43;2;0;32003;38001;10;33;0.23255814;0.382575758;0.001488331;1;NA;NA;498360;279840;539074;209193;81.5551192;74.3;1036;62;332;0;2;3;0;1;0;1;1;1;0;0;1;1;0.157837952;0.928571429;0.066666667;0.902272727;0.741666667;0.216666667;0.711111111;0.347826087;0.476190476;0.054545455;0.173913043;NA;0.693333333;0.266666667;0.267857143;0.026315789;0.584615385;0.033333333;0.253521127;0.105882353;0.857894737;0.779220779;0.083333333;0.083333333;81.5551192;Depind;0.015873016;0.03125;0.161290323;0.090909091;0.416666667
8314;54296;Harpers Brook;Ash;0.495495495;7.02E-06;0;1;37;2;0;32003;38002;15;22;0.405405405;0.393939394;0.009943373;1;0.657142857;0.000330371;498360;279840;539360;214840;76.86554714;74.3;78.7;35;337;0;7;4;1;1;1;0;0;0;0;1;0;1;0.157860113;0.063291139;0.166666667;0.325581395;0.64516129;0.113207547;0.476923077;0.066666667;0.604761905;0.257142857;0.217391304;NA;0.239130435;0.352941176;0.196078431;0.078947368;0.074074074;0.032258065;0.113207547;0.105263158;0.376923077;0.176470588;0.3;0.291666667;76.86554714;Depind;0;0.015873016;0.162162162;0.032258065;0.134453782
8646;55070;Nene/Kislingbury;Mimram;0.475783476;0.000343071;1;1;27;2;0;32006;38003;4;23;0.148148148;0.422924901;0.004244768;1;NA;NA;472080;259190;528256;213276;72.5700523;223;133.9;119;245;1;0;2;0;0;0;1;0;0;0;1;0;1;0.157803331;0.399103139;0.241935484;0.621428571;0.936842105;0.376344086;NA;0.136363636;0.338461538;0.125;0.485714286;NA;0.461538462;0.261538462;0.375;0.063829787;0;0;0.090909091;0.05952381;0.651162791;0.553846154;0.338461538;0.35;72.5700523;Depind;0.015151515;0.058823529;0.213114754;0.076923077;0.106918239
8817;55470;Nene/Brampton;Upper Lee;0.514492754;0.000271385;0;0;24;2;0;32007;38013;4;20;0.166666667;0.494736842;0.001839701;1;NA;NA;474900;261360;511780;218590;56.48966409;232.8;70.7;66;259;0;3;0;0;0;1;0;0;0;0;0;0;0;0.157998579;0.69527897;0.397959184;0.754545455;0.24;0.09375;NA;0.086956522;0.382022472;0.592592593;0.321428571;NA;0.858490566;0.5625;0.379310345;0.069767442;0.16;0;0.180722892;0.108695652;0.932142857;0.872727273;0.621052632;0.463157895;56.48966409;Depind;0.015151515;0.03030303;0.391752577;0.076923077;0.119205298
11503;69469;Stour;Lee;0.466666667;1.12E-05;6;0;40;2;0;36001;38001;10;30;0.25;0.397701149;0.001723466;1;NA;NA;604200;234000;539074;209193;69.69097445;844.3;1036;59;335;0;10;0;0;0;0;0;0;0;0;0;0;0;0.052630194;0.185328185;0.807142857;0.295454545;0.658333333;0.166666667;NA;0.434782609;0.436363636;0.266666667;0.263157895;NA;0.74;0.133333333;0.089285714;0.108108108;0.21686747;0.137931034;0.23943662;0.129411765;0.771929825;0.779220779;0.166666667;0.090909091;69.69097445;Depind;0.079365079;0.0625;0.784615385;0.292929293;0.390196078
12706;76464;Lee;Ash;0.536585366;1.90E-07;0;2;41;2;0;38001;38002;17;24;0.414634146;0.471014493;0.000966178;1;0.647058824;0.00012768;539074;209193;539360;214840;5.654990486;1036;78.7;18;362;0;10;4;0;0;0;0;1;0;0;0;2;2;2.63E-05;0.923745174;0.222222222;0.934090909;0.908333333;0.116666667;0.848888889;0.391304348;0.245454545;0.214285714;0.052631579;NA;0.766666667;0.117647059;0.089285714;0.054054054;0.615384615;0.064516129;0.338028169;0.2;0.771929825;0.818181818;0.358333333;0.227272727;5.654990486;Depind;0.015873016;0.015625;0.297297297;0.060606061;0.495098039
12713;76474;Lee;Thames;0.410852713;6.88E-05;0;4;43;2;0;38001;39002;17;26;0.395348837;0.44;0.001311368;1;0.338235294;0.063022412;539074;209193;456880;193620;83.67686699;1036;3444.7;18;342;0;1;3;5;2;2;0;0;1;2;1;0;3;0.02566535;0.699274311;0.391304348;0.848275862;0.657142857;0.0625;0.7;0.303030303;0;0.163636364;0.441176471;NA;0.52;0.133333333;0.138461538;0;0.535714286;0.064516129;0.042253521;0.047058824;0.543859649;0.61038961;0.25;0.209090909;83.67686699;Depind;0.086956522;0.111111111;0.395348837;0.1;0.289198606
