"Station_1";"Station_2";"Media";"Max";"Min";"lag0";"lag1";"lag2";"lag3";"lag4";"lag5";"lag5_10";"lag10"
10001;12001;126,5;324;0;5;1;0;0;0;0;20;0
10001;15001;51,5;260;0;4;1;0;0;0;0;11;0
10001;15003;96;315;1;0;1;0;0;0;0;18;1
10001;15004;31,5;179;0;2;4;0;1;0;0;13;0
10001;15005;36;173;1;0;3;1;0;1;0;10;0
10001;15006;68;303;2;0;0;1;1;0;0;17;0
10001;15007;95;313;9;0;0;0;0;0;0;17;1
10001;15008;22;334;0;3;2;1;1;0;0;13;0
10001;16001;103,5;304;1;0;1;1;1;1;0;18;0
10001;16003;118;303;3;0;0;0;1;0;0;16;0
10001;18001;109;311;16;0;0;0;0;0;0;15;0
10001;19001;113,5;323;0;1;0;0;0;0;0;17;1
10001;19002;91;327;0;1;0;0;0;0;0;14;0
10001;19004;130;319;1;0;1;0;0;0;1;13;0
10001;19005;91;319;9;0;0;0;0;0;0;15;1
10001;19006;79,5;319;0;1;1;1;0;0;0;11;0
10001;19007;66,5;319;0;1;1;0;0;1;0;11;0
10001;19008;66,5;290;0;1;1;0;0;0;2;12;1
10001;20001;76;331;0;2;2;1;0;0;0;12;1
10001;21003;137;327;2;0;0;1;0;0;0;20;0
10001;21005;247;341;3;0;0;0;1;0;0;15;0
10001;21006;268,5;327;3;0;0;0;1;0;0;15;0
10001;21007;247;327;3;0;0;0;1;0;0;15;0
10001;21008;181;311;4;0;0;0;0;1;0;14;0
10001;21009;178;319;1;0;1;0;0;1;0;14;0
10001;21010;248;327;3;0;0;0;1;1;0;19;0
10001;21012;96;311;17;0;0;0;0;0;0;15;0
10001;21031;148,5;330;1;0;2;0;0;0;1;13;0
10001;21032;181;330;1;0;2;0;0;0;0;13;0
10001;22001;183;319;1;0;1;0;0;0;0;14;0
10001;22006;183;304;1;0;1;1;0;0;0;13;0
10001;22007;68;307;1;0;2;0;0;1;0;12;0
10001;23001;121,5;341;4;0;0;0;0;1;0;19;1
10001;23003;74,5;311;4;0;0;0;0;1;0;15;0
10001;23005;210;336;27;0;0;0;0;0;0;13;0
10001;23006;202;291;4;0;0;0;0;1;0;12;0
10001;24002;183;294;1;0;1;0;0;0;1;17;0
10001;24003;43;332;4;0;0;0;0;1;0;14;0
