"Station number","River","Location","Minimum altitude","10 percentile altitude","50 percentile altitude","90 percentile altitude","Maximum altitude"
"1001","Wick","Tarroul","13","31","79","140","240"
"2001","Helmsdale","Kilphedir","21","130","200","320","690"
"2002","Brora","Bruachrobie","9.4","140","240","420","710"
"3001","Shin","Lairg","87","110","220","390","870"
"3002","Carron","Sgodachail","75","220","430","680","950"
"3003","Oykel","Easter Turnaig","20","150","270","480","1000"
"3004","Cassley","Rosehall","5.2","120","290","480","1100"
"3005","Shin","Inveran","5.2","110","220","380","870"
"3006","Loch Ailsh","Loch Ailsh","150","190","320","610","1000"
"4001","Conon","Moy Bridge","12","150","350","640","1100"
"4003","Alness","Alness","14","190","410","580","840"
"4004","Blackwater","Contin","29","190","380","690","1100"
"4005","Meig","Glenmeanie","120","230","460","710","1100"
"4006","Bran","Dosmucheran","120","170","330","560","910"
"4007","Blackwater","Garve","70","250","410","710","1100"
"4008","Newhall Burn","Newhall Bridge","7","48","130","190","260"
"4009","Peffery","Strathpeffer STW","30","83","210","410","750"
"4010","Meig","Loch Beannacharain","140","260","500","760","1100"
"4011","Meig","Corrievuic","150","280","540","770","1100"
"5001","Beauly","Erchless","30","220","450","780","1200"
"5002","Farrar","Struy","54","230","460","750","1200"
"5003","Glass","Kerrow Wood","53","240","480","810","1200"
"5004","Glass","Fasnakyle","77","250","450","800","1200"
"6001","Ness","Ness Castle Farm","10","130","350","680","1100"
"6003","Moriston","Invermoriston","41","210","400","660","1100"
"6006","Allt Bhlaraidh","Invermoriston","110","340","490","560","680"
"6007","Ness","Ness-side","7","120","350","680","1100"
"6008","Enrick","Mill of Tore","110","190","340","520","670"
"6009","Moriston","Levishie","46","210","400","660","1100"
"6011","Tarff","Ardachy Bridge","34","320","610","760","890"
"6012","Enrick","White Bridge","140","210","340","520","670"
"6013","Mill Burn","Dirriebught House","11","32","150","240","290"
"7001","Findhorn","Shenachie","250","340","560","760","940"
"7002","Findhorn","Forres","11","230","410","730","940"
"7003","Lossie","Sheriffmills","18","42","200","330","520"
"7004","Nairn","Firhall","8.8","87","260","520","800"
"7005","Divie","Dunphail","120","230","310","410","540"
"7006","Lossie","Torwinny","200","270","340","430","520"
"7007","Black Burn","Monaughty","49","82","170","270","370"
"7008","Nairn","Balnafoich","180","220","340","600","800"
"7009","Mosset Burn","Wardend Bridge","43","90","190","290","370"
"7010","Muckle Burn","Brodie","23","97","170","310","410"
"7011","Black Burn","Pluscarden Abbey","55","86","160","260","370"
"7012","Lossie","Ballachraggan","180","240","320","410","520"
"8001","Spey","Aberlour","79","240","440","760","1300"
"8002","Spey","Kinrara","210","280","520","810","1300"
"8003","Spey","Ruthven Bridge","220","290","480","790","1000"
"8004","Avon","Delnashaugh","150","310","490","770","1300"
"8005","Spey","Boat of Garten","200","260","500","810","1300"
"8006","Spey","Boat o Brig","43","230","420","750","1300"
"8007","Spey","Invertruim","230","310","480","790","1000"
"8008","Tromie","Tromie Bridge","240","410","630","820","950"
"8009","Dulnain","Balnaan Bridge","220","270","450","670","880"
"8010","Spey","Grantown","190","250","460","780","1300"
"8011","Livet","Minmore","220","310","410","660","800"
"8013","Feshie","Feshie Bridge","240","330","620","910","1300"
"8015","Fiddich","Auchindoun","170","260","390","570","780"
"8016","Conglass Water","Auchriachan","320","390","500","660","790"
"8017","Burn of Carron","Dailuaine","96","190","270","480","740"
"8018","Avon","Tomintoul","310","480","660","960","1300"
"8021","Nethy","Forest Lodge","280","360","540","920","1200"
"9001","Deveron","Avochie","82","170","330","500","750"
"9002","Deveron","Muiresk","26","110","210","430","750"
"9003","Isla","Grange","93","140","200","290","420"
"9004","Bogie","Redcraig","120","180","290","430","710"
"9005","Allt Deveron","Cabrach","290","340","440","550","720"
"9006","Deskford Burn","Cullen","7.3","49","140","230","320"
"9007","Forgue Burn","Inverkeithny","49","100","160","230","340"
"9008","Burn of Boyne","Scotsmill","29","59","120","200","430"
"9009","Idoch Water","Turriff","32","69","120","160","230"
"9010","Deveron","Huntly","120","230","380","550","750"
"10001","Ythan","Ardlethen","6.9","58","110","160","380"
"10002","Ugie","Inverugie","9.5","39","84","140","230"
"10003","Ythan","Ellon","3.5","54","110","160","380"
"11001","Don","Parkhill","35","90","220","510","870"
"11002","Don","Haughton","58","130","310","560","870"
"11003","Don","Bridge of Alford","140","230","390","610","870"
"11004","Urie","Pitcaple","68","120","200","320","520"
"11005","Don","Mill of Newe","270","370","510","670","830"
"11006","Don","Culfork","310","400","530","680","830"
"12001","Dee","Woodend","71","190","510","820","1300"
"12002","Dee","Park","24","140","440","770","1300"
"12003","Dee","Polhollick","220","380","600","890","1300"
"12004","Girnock Burn","Littlemill","250","310","410","510","860"
"12005","Muick","Invermuick","200","360","620","860","1100"
"12006","Gairn","Invergairn","220","390","530","760","1200"
"12007","Dee","Mar Lodge","330","480","650","940","1300"
"12008","Feugh","Heugh Head","70","130","340","520","780"
"12009","Water of Dye","Charr","240","320","420","530","770"
"13001","Bervie","Inverbervie","7","67","120","290","460"
"13002","Luther Water","Luther Bridge","25","52","110","330","520"
"13003","South Esk","Stannochy Bridge","24","77","310","710","1000"
"13004","Prosen Water","Prosen Bridge","110","250","410","650","950"
"13005","Lunan Water","Kirkton Mill","9.9","46","97","150","250"
"13007","North Esk","Logie Mill","13","59","270","650","940"
"13008","South Esk","Brechin","19","75","310","710","1000"
"13009","West Water","Dalhouse Bridge","50","160","380","660","890"
"13010","Brothock Water","Arbroath","6.5","31","55","110","180"
"13012","South Esk","Gella Bridge","200","250","570","840","1000"
"13017","Colliston Burn","Colliston","33","54","90","140","180"
"14001","Eden","Kemback","7.1","41","100","190","520"
"14002","Dighty Water","Balmossie Mill","19","65","140","240","450"
"14005","Motray Water","St Michaels","7.6","25","78","140","280"
"14006","Monikie Burn","Panbride","15","55","140","210","250"
"14007","Craigmill Burn","Craigmill","11","53","150","200","250"
"14009","Eden","Strathmiglo","48","84","150","220","440"
"14010","Motray Water","Kilmany","21","51","100","150","280"
"15001","Isla","Forter","290","400","640","890","1100"
"15002","Newton Burn","Newton","240","310","440","640","800"
"15003","Tay","Caputh","36","210","440","740","1200"
"15004","Inzion","Loch of Lintrathen","210","250","370","490","670"
"15005","Melgan","Loch of Lintrathen","210","270","400","530","680"
"15006","Tay","Ballathie","22","120","400","720","1200"
"15007","Tay","Pitnacree","66","180","460","750","1200"
"15008","Dean Water","Cookston","46","59","130","250","450"
"15010","Isla","Wester Cardean","37","130","340","650","1100"
"15011","Lyon","Comrie Bridge","95","280","560","810","1200"
"15012","Tummel","Pitlochry","80","270","450","760","1100"
"15013","Almond","Almondbank","21","150","400","710","930"
"15014","Ardle","Kindrogan","250","340","500","690","1100"
"15015","Almond","Newton Bridge","210","330","580","760","930"
"15016","Tay","Kenmore","100","160","450","730","1200"
"15017","Braan","Ballinloan","150","270","410","590","870"
"15018","Lyon","Moar","240","360","600","810","1100"
"15021","Lunan Burn","Mill Bank","33","53","140","370","560"
"15023","Braan","Hermitage","57","260","400","580","870"
"15024","Dochart","Killin","120","190","440","710","1200"
"15025","Ericht","Craighall","73","250","420","710","1100"
"15027","Garry Burn","Loakmill","55","81","120","320","400"
"15028","Ordie Burn","Luncarty","22","59","110","300","450"
"15029","Alyth Burn","Pitcrocknie","84","130","240","380","460"
"15030","Dean Water","Dean Bridge","39","54","110","240","450"
"15032","Ordie Burn","Jackstone","50","83","160","340","450"
"15034","Garry","Killiecrankie","110","330","540","800","1100"
"15035","Tummel","Kinloch Rannoch","200","280","400","680","1100"
"15038","Gaur","Bridge of Gaur","210","290","350","620","1100"
"15039","Tilt","Marble Lodge","240","500","680","850","1100"
"15041","Lyon","Camusvrachan","180","340","580","790","1100"
"15046","Garry Burn","Loakmill","59","82","120","320","400"
"16001","Earn","Kinkell Bridge","19","58","300","600","980"
"16002","Earn","Aberuchill","63","110","400","600","970"
"16003","Ruchill Water","Cultybraggan","67","190","380","600","980"
"16004","Earn","Forteviot Bridge","5.7","49","230","570","980"
"16007","Ruthven Water","Aberuthven","27","75","220","420","490"
"17001","Carron","Headswood","19","80","250","400","560"
"17002","Leven","Leven","5.8","71","130","270","520"
"17003","Bonny Water","Bonnybridge","21","52","110","170","350"
"17004","Ore","Balfour Mains","27","61","120","210","360"
"17005","Avon","Polmonthill","4.4","81","170","220","310"
"17008","South Queich","Kinross","110","120","160","360","490"
"17012","Red Burn","Castlecary","48","91","130","170","180"
"17015","North Queich","Lathro","110","130","250","380","490"
"17016","Lochty Burn","Whinnyhall","73","84","110","170","340"
"17018","Greens Burn","Damleys Cottage","110","120","160","240","430"
"18001","Allan Water","Kinbuck","94","120","230","410","630"
"18002","Devon","Glenochil","4.4","43","290","530","720"
"18003","Teith","Bridge of Teith","16","110","320","610","1200"
"18005","Allan Water","Bridge of Allan","14","110","210","400","630"
"18007","Devon","Fossoway Bridge","160","260","400","550","720"
"18008","Leny","Anie","120","160","420","680","1200"
"18010","Forth","Gargunnock","4.6","15","100","380","950"
"18011","Forth","Craigforth","2.5","19","180","530","1200"
"18013","Black Devon","Fauld Mill","8.5","48","100","260","360"
"18014","Bannock Burn","Bannockburn","15","52","170","320","440"
"18015","Eas Gobhain","Loch Venachar","79","110","310","570","870"
"18016","Kelty Water","Clashmore","160","190","280","410","500"
"18017","Monachyle Burn","Balquhidder","300","370","490","670","880"
"18018","Kirkton Burn","Balquhidder","240","340","570","740","850"
"18019","Comer Burn","Comer","170","260","520","850","950"
"18020","Loch Ard Burn","Duchray","100","120","170","200","220"
"18021","Loch Ard Burn","Elrig","97","160","180","200","240"
"18022","Avon Dhu","Milton","19","45","210","480","700"
"18023","Monachyle Burn","Upper Monachyle","430","440","480","550","650"
"19001","Almond","Craigiehall","21","61","180","280","510"
"19002","Almond","Almond Weir","130","160","190","250","290"
"19003","Breich Water","Breich Weir","140","200","250","300","360"
"19004","North Esk","Dalmore Weir","130","220","280","430","580"
"19005","Almond","Almondell","75","140","220","290","510"
"19006","Water of Leith","Murrayfield","37","72","240","370","560"
"19007","Esk","Musselburgh","4.2","82","250","400","650"
"19008","South Esk","Prestonholm","74","180","270","440","650"
"19009","Bog Burn","Cobbinshaw","260","260","280","290","300"
"19010","Braid Burn","Liberton","48","100","160","340","490"
"19011","North Esk","Dalkeith Palace","32","150","270","420","580"
"19012","Water of Leith","Colinton","91","190","270","390","560"
"19014","Brox Burn","Newliston","36","62","130","220","310"
