Station number;Catchment area;Station level;Mean GDF;Maximum GDF;Base flow index;QMED;Maximum altitude;Woodland;Arable/horticultural;Grassland;Mountain/heath/bog;Urban extent;ASPBAR (°);BFIHOST (%);DPSBAR (m/km);LDP (km);PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000
1001;162;13;3;48;0.39;;240;0.098;0.058;0.41;0.39;0.004;52;0.3;30;23;0.56;;;0.0004;0.0012;;
2001;551;17;13;190;0.47;170;690;0.054;0.0003;0.071;0.84;0.0001;200;0.32;97;57;0.65;;;0;0;;
2002;434;9;12;230;0.3;170;710;0.039;0.0001;0.075;0.87;0.0009;180;0.35;97;52;0.59;;;0;0.0002;;
3001;495;82;15;120;0.55;;870;0.17;;0.13;0.63;;170;0.37;99;46;0.78;;;0;0;;
3002;241;71;9.1;200;0.3;180;950;0.047;;0.092;0.83;0.0001;44;0.44;220;32;0.81;;;0;0;;
3003;331;16;16;400;0.22;350;1000;0.085;;0.26;0.63;;61;0.36;150;31;0.81;;;0;0;;
3004;188;3.3;7.2;190;0.22;;1100;0.034;;0.17;0.78;;140;0.39;140;39;0.82;;;0;0;;
3005;575;4.3;5;130;0.59;;870;0.17;;0.15;0.62;;180;0.38;98;56;0.76;;;0.0002;0.0002;;
3006;44;150;3;42;0.29;;1000;0.0043;;0.12;0.84;;190;0.4;220;14;0.81;;;0.0003;0;;
4001;962;10;50;920;0.57;;1100;0.099;0.0058;0.11;0.74;0.0005;120;0.36;200;61;0.75;;;0.0002;0.0001;;
4003;201;12;6.2;120;0.43;81;840;0.13;0.01;0.14;0.68;0.0018;120;0.39;150;43;0.63;;;0.0005;0.0005;;
4004;337;20;6;170;0.4;;1100;0.13;0.0026;0.099;0.73;0.0002;170;0.36;200;48;0.74;;;0.0001;0.0001;;
4005;121;120;6.9;130;0.25;110;1100;0.057;;0.099;0.83;;120;0.39;290;28;0.76;;;0;0;;
4006;116;120;7;96;0.28;85;910;0.023;;0.14;0.8;;56;0.33;160;24;0.83;;;0;0;;
4007;289;71;4.8;100;0.36;;1100;0.089;0.0025;0.078;0.79;;170;0.35;200;37;0.75;;;0;0;;
4008;41;8;0.48;16;0.46;;260;0.41;0.23;0.23;0.12;0.0025;350;0.68;52;15;0.42;;;0.0002;0.0002;;
4009;17;36;0.27;5.7;0.4;;750;0.59;0.058;0.24;0.085;0.014;170;0.49;150;9.3;0.74;0.52;0.63;0.011;0.0085;0.42;0.47
4010;71;150;5;95;0.24;;1100;0.022;;0.12;0.85;;110;0.38;290;20;0.8;;;0;0;;
4011;58;160;4.3;43;0.21;;1100;0.0008;;0.095;0.89;;21;0.39;300;17;0.82;;;0;0;;
5001;850;44;46;380;0.5;;1200;0.084;;0.11;0.76;0.0004;99;0.4;260;61;0.74;;;0.0001;0.0002;;
5002;311;51;19;150;0.59;;1200;0.013;;0.086;0.84;0;110;0.39;270;46;0.74;;;0;0;;
5003;482;53;32;290;0.59;;1200;0.1;;0.13;0.73;0.0006;82;0.4;270;47;0.75;;;0.0001;0.0003;;
5004;278;80;5;200;0.42;;1200;0.13;;0.11;0.73;;70;0.39;260;40;0.74;;;0;0;;
6001;1792;9.1;74;560;0.54;;1100;0.17;0.01;0.13;0.62;0.0006;14;0.41;180;100;0.72;;;0.0003;0.0002;;
6003;391;35;21;280;0.29;310;1100;0.11;0.0007;0.089;0.75;;130;0.36;210;49;0.74;;;0.0001;0;;
6006;28;110;0.88;17;0.29;;680;0.046;;0.0075;0.88;;150;0.28;110;12;0.7;;;0;0;;
6007;1839;6.9;90;770;0.61;;1100;0.17;0.012;0.13;0.62;0.0006;12;0.42;180;110;0.71;;;0.0003;0.0003;;
6008;106;110;3.3;77;0.3;51;670;0.21;0.0046;0.13;0.64;;350;0.43;120;25;0.7;;;0.0002;0;;
6009;403;42;5.7;220;0.42;;1100;0.11;0.0004;0.089;0.76;;130;0.36;210;47;0.74;;;0.0001;0;;
6011;76;33;3.6;85;0.22;;890;0.034;0.0036;0.2;0.74;;340;0.4;180;22;0.72;;;0;0;;
6012;56;140;1.7;35;0.25;39;670;0.2;;0.088;0.7;;340;0.39;110;18;0.7;;;0.0001;0;;
6013;9;11;0.18;3.4;0.72;;290;0.23;0.08;0.35;0.13;0.18;330;0.71;47;8.8;0.43;0.8;0.86;0.065;0.092;0.37;0.4
7001;416;250;14;270;0.35;280;940;0.075;;0.17;0.74;;24;0.45;140;51;0.68;;;0.0002;0.0002;;
7002;782;9.6;20;610;0.39;350;940;0.13;0.0044;0.15;0.71;0.0001;11;0.43;120;100;0.56;;;0.0001;0.0001;;
7003;216;18;2.7;110;0.54;45;520;0.4;0.1;0.26;0.22;0.0028;3;0.58;79;40;0.42;;;0.0003;0.0007;;
7004;313;7.2;5.5;240;0.45;97;800;0.28;0.054;0.21;0.43;0.0033;350;0.59;100;58;0.5;;;0.0007;0.0009;;
7005;165;120;2.9;92;0.42;64;540;0.11;0.0028;0.11;0.76;0.0001;340;0.35;77;28;0.48;;;0;0;;
7006;20;200;0.37;9.8;0.47;;520;0.56;;0.17;0.26;;24;0.3;87;12;0.42;;;0;0;;
7007;44;49;0.48;13;0.58;;370;0.48;0.12;0.28;0.11;0.0042;4;0.65;110;16;0.42;;;0.0001;0.0005;;
7008;128;180;2.7;110;0.37;40;800;0.22;0.0098;0.17;0.55;0.0001;340;0.53;130;25;0.68;;;0.0001;0;;
7009;28;45;0.32;12;0.49;;370;0.5;0.054;0.22;0.22;;330;0.61;61;13;0.42;;;0;0;;
7010;81;22;1;21;0.55;18;410;0.44;0.081;0.22;0.26;;11;0.64;63;30;0.42;;;0.0002;0;;
7011;36;54;0.34;12;0.67;4.2;370;0.48;0.11;0.27;0.13;0.005;8;0.66;110;15;0.42;;;0.0001;0.0006;;
7012;;;0.47;19;0.48;;520;0.63;0.0007;0.15;0.21;;2;0.36;78;13;0.42;;;0;0;;
8001;2655;79;56;880;0.58;;1300;0.16;0.0091;0.15;0.66;0.002;15;0.48;160;150;0.65;;;0.0006;0.0011;;
8002;1012;210;23;290;0.55;160;1300;0.1;0.0029;0.11;0.76;0.0013;10;0.45;180;71;0.71;;;0.0003;0.0006;;
8003;534;220;9.4;170;0.5;;1000;0.081;0.0015;0.12;0.77;0.0012;130;0.42;180;52;0.73;;;0.0003;0.0006;;
8004;543;160;15;260;0.55;210;1300;0.12;0.0023;0.17;0.7;0.0009;10;0.45;180;65;0.63;;;0.0005;0.0002;;
8005;1268;200;29;350;0.59;170;1300;0.14;0.0042;0.1;0.73;0.002;350;0.47;170;88;0.7;;;0.0005;0.0011;;
8006;2861;43;65;1100;0.6;510;1300;0.18;0.013;0.16;0.63;0.0025;17;0.48;160;160;0.63;;;0.0009;0.0013;;
8007;400;240;6.1;200;0.51;100;1000;0.094;0.0011;0.11;0.76;0.0001;310;0.41;180;41;0.75;;;0.0001;0;;
8008;130;240;2.5;96;0.61;51;950;0.035;;0.047;0.89;;7;0.45;210;30;0.72;;;0;0;;
8009;272;220;6;160;0.44;88;880;0.14;0.0056;0.13;0.72;0.0001;94;0.5;120;44;0.68;;;0.0002;0.0006;;
8010;1749;190;38;480;0.58;240;1300;0.16;0.006;0.12;0.7;0.0021;13;0.48;160;100;0.69;;;0.0005;0.0012;;
8011;104;220;2.3;36;0.63;32;800;0.15;0.0006;0.29;0.55;0.0003;330;0.45;170;22;0.63;;;0.001;0.0001;;
8013;231;230;7.7;120;0.49;110;1300;0.13;;0.035;0.83;;320;0.48;180;40;0.7;;;0;0;;
8015;45;180;1;35;0.55;;780;0.37;0.011;0.14;0.47;0.0007;340;0.39;190;19;0.61;;;0.0001;0;;
8016;41;340;0.81;9.4;0.56;;790;0.13;;0.21;0.65;0.0007;310;0.32;160;12;0.63;;;0.0006;0.0003;;
8017;15;100;0.26;4.8;0.43;;740;0.25;0.049;0.21;0.48;0.0096;350;0.52;130;7.8;0.56;;;0.0001;0;;
8018;185;310;7.3;130;0.53;;1300;0.02;;0.041;0.93;;35;0.45;210;40;0.63;;;0;0;;
8021;39;290;1.3;38;0.62;;1200;0.1;;0.025;0.87;;360;0.43;230;16;0.63;;;0;0;;
9001;442;82;8.8;180;0.59;130;750;0.23;0.12;0.31;0.34;0.0056;55;0.51;120;54;0.53;;;0.0017;0.0021;;
9002;955;25;17;390;0.57;270;750;0.21;0.24;0.35;0.19;0.0069;73;0.51;100;85;0.46;;;0.0022;0.0024;;
9003;176;92;2.8;80;0.52;53;420;0.31;0.18;0.38;0.11;0.011;98;0.47;85;28;0.42;0.69;0.79;0.0051;0.0055;0.75;0.72
9004;179;120;3.2;55;0.7;32;710;0.27;0.17;0.35;0.21;0.0042;71;0.57;130;30;0.53;;;0.0012;0.0014;;
9005;67;290;1.6;38;0.49;;720;0.1;0.0001;0.22;0.68;;1;0.4;120;17;0.59;;;0.0001;0;;
9006;47;15;0.57;23;0.47;;320;0.41;0.33;0.23;0.026;0.0003;27;0.55;78;15;0.43;;;0.0015;0.0003;;
9007;88;51;0.94;11;0.67;;340;0.1;0.54;0.33;0.025;0.0049;4;0.59;78;18;0.45;;;0.0021;0.0009;;
9008;53;31;0.79;37;0.34;;430;0.17;0.47;0.28;0.066;0.0099;43;0.45;53;18;0.43;;;0.001;0.0015;;
9009;95;34;1.7;66;0.64;;230;0.097;0.52;0.32;0.052;0.0088;230;0.64;62;23;0.41;;;0.0022;0.002;;
9010;225;120;5;94;0.44;130;750;0.2;0.037;0.26;0.49;0.0015;45;0.43;130;45;0.55;;;0.0002;0.0001;;
10001;448;7.5;6.8;57;0.72;50;380;0.073;0.56;0.34;0.021;0.012;120;0.61;57;52;0.42;;;0.0007;0.0013;;
10002;325;8.5;4.9;130;0.64;46;230;0.11;0.44;0.35;0.085;0.016;87;0.52;42;41;0.4;;;0.0029;0.0036;;
10003;523;3.8;8.3;110;0.73;58;380;0.069;0.58;0.32;0.019;0.013;100;0.62;55;55;0.42;;;0.0016;0.0024;;
11001;1273;32;21;390;0.67;140;870;0.16;0.3;0.29;0.24;0.012;96;0.58;110;130;0.52;;;0.0028;0.0041;;
11002;787;55;15;240;0.67;110;870;0.19;0.19;0.26;0.36;0.0045;82;0.57;140;100;0.55;;;0.001;0.0016;;
11003;499;130;10;190;0.67;98;870;0.16;0.11;0.25;0.48;0.0011;75;0.56;160;69;0.56;;;0.0004;0.0003;;
11004;198;67;3.4;46;0.74;21;520;0.13;0.43;0.35;0.079;0.0094;92;0.56;88;26;0.53;;;0.0028;0.0026;;
11005;187;270;4;39;0.67;;830;0.15;0.0018;0.15;0.69;;80;0.46;190;35;0.63;;;0.0001;0;;
11006;103;300;2.8;62;0.59;;830;0.1;;0.13;0.77;;42;0.43;180;27;0.63;;;0;0;;
12001;1370;71;37;780;0.53;440;1300;0.13;0.035;0.12;0.7;0.0035;93;0.51;190;110;0.62;;;0.0005;0.001;;
12002;1844;23;48;800;0.53;560;1300;0.16;0.058;0.14;0.63;0.0052;82;0.51;170;130;0.58;;;0.0008;0.0016;;
12003;690;220;24;370;0.49;300;1300;0.079;0.0009;0.069;0.84;0.0004;95;0.46;220;63;0.68;;;0.0001;0.0001;;
12004;30;250;0.53;28;0.38;;860;0.076;0.0011;0.074;0.85;;27;0.46;160;11;0.68;;;0;0;;
12005;110;200;3.9;88;0.49;70;1100;0.086;0.0041;0.077;0.81;0.0003;12;0.51;190;28;0.68;;;0.0001;0.0001;;
12006;150;220;3.9;59;0.54;60;1200;0.021;0.0014;0.12;0.85;0.0001;130;0.45;180;34;0.64;;;0;0;;
12007;289;330;12;230;0.43;180;1300;0.021;;0.052;0.92;;120;0.4;240;29;0.69;;;0.0001;0;;
12008;229;69;6.1;170;0.44;130;780;0.14;0.045;0.11;0.7;0.0045;39;0.43;150;30;0.54;;;0;0.0002;;
12009;42;240;1.3;32;0.37;;770;0.0002;;0.043;0.96;0.0003;110;0.28;140;11;0.54;;;0;0;;
13001;123;70;2.2;51;0.57;36;460;0.15;0.55;0.22;0.066;0.019;150;0.55;85;33;0.45;;;0.0022;0.0017;;
13002;138;25;2.4;52;0.58;;520;0.16;0.5;0.17;0.16;0.014;170;0.55;96;24;0.54;;;0.0049;0.0039;;
13003;487;29;13;210;0.53;;1000;0.1;0.21;0.24;0.44;0.003;150;0.54;160;70;0.46;;;0.0004;0.0007;;
13004;104;110;3.3;66;0.55;;950;0.15;0.023;0.19;0.64;;150;0.47;210;29;0.66;;;0.0001;0;;
13005;124;8.6;1.7;33;0.52;;250;0.095;0.68;0.18;0.017;0.019;86;0.6;44;26;0.36;;0.67;0.0016;0.0051;;1
13007;732;11;20;390;0.5;;940;0.062;0.25;0.18;0.5;0.0057;140;0.52;140;65;0.55;;;0.0015;0.0016;;
13008;488;18;13;220;0.54;;1000;0.1;0.21;0.24;0.44;0.0042;150;0.54;160;73;0.46;;;0.0009;0.0014;;
13009;127;49;4.1;95;0.51;;890;0.034;0.052;0.23;0.68;0.0004;130;0.5;200;36;0.55;;;0.0001;0;;
13010;50;8;0.59;12;0.48;;180;0.11;0.64;0.18;0.029;0.042;89;0.57;34;12;0.36;0.41;0.74;0.0073;0.016;0.11;0.37
13012;130;230;5.6;130;0.45;;1000;0.082;0.0063;0.19;0.72;0.0002;180;0.51;250;35;0.68;;;0;0.0001;;
13017;8;39;0.14;3.9;0.33;;180;0.032;0.83;0.11;0.026;0.0026;70;0.55;36;5.7;0.36;;;0;0;;
14001;307;6.2;4.1;69;0.63;40;520;0.12;0.52;0.29;0.018;0.042;76;0.61;73;41;0.4;;0.72;0.0039;0.011;;0.71
14002;127;16;1.6;31;0.6;;450;0.075;0.46;0.28;0.035;0.14;160;0.57;62;26;0.4;0.86;0.93;0.026;0.066;0.66;0.54
14005;60;19;0.58;13;0.58;;280;0.091;0.58;0.3;0.0046;0.015;97;0.63;91;20;0.41;;;0.0002;0.0011;;
14006;16;16;0.19;9.7;0.44;;250;0.2;0.49;0.24;0.034;0.017;140;0.56;40;15;0.36;;0.71;0.002;0.0068;;1
14007;29;11;0.33;7;0.4;;250;0.24;0.46;0.23;0.034;0.012;140;0.57;38;16;0.36;;;0.0012;0.0043;;
14009;26;48;0.52;14;0.56;;440;0.069;0.59;0.27;0.037;0.028;71;0.63;79;14;0.45;;;0.0014;0.0038;;
