"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","Factors affecting runoff"
"1001","Wick","Tarroul","162","1995","","No","Yes","No",""
"2001","Helmsdale","Kilphedir","551","1974","","Yes","Yes","No","R"
"2002","Brora","Bruachrobie","434","1993","","Yes","Yes","No",""
"3001","Shin","Lairg","495","1950","1957","No","Yes","No",""
"3002","Carron","Sgodachail","241","1973","","Yes","Yes","No","H"
"3003","Oykel","Easter Turnaig","331","1977","","Yes","Yes","No","N"
"3004","Cassley","Rosehall","188","1979","","No","Yes","No","H"
"3005","Shin","Inveran","575","1981","2011","No","Yes","No","H"
"3006","Loch Ailsh","Loch Ailsh","44","2003","","No","Yes","No",""
"4001","Conon","Moy Bridge","962","1947","","No","Yes","No","H"
"4003","Alness","Alness","201","1973","","Yes","Yes","No","SR"
"4004","Blackwater","Contin","337","1981","2011","No","Yes","No","H"
"4005","Meig","Glenmeanie","121","1985","","Yes","Yes","No","N"
"4006","Bran","Dosmucheran","116","1990","","Yes","Yes","No","N"
"4007","Blackwater","Garve","289","1989","","No","Yes","No",""
"4008","Newhall Burn","Newhall Bridge","41","1996","","No","Yes","No",""
"4009","Peffery","Strathpeffer STW","17","1992","","No","Yes","No",""
"4010","Meig","Loch Beannacharain","71","2011","","No","Yes","No",""
"4011","Meig","Corrievuic","58","2011","","No","Yes","No",""
"5001","Beauly","Erchless","850","1950","1963","No","Yes","No","H"
"5002","Farrar","Struy","311","1986","2011","No","Yes","No","H"
"5003","Glass","Kerrow Wood","482","1989","","No","Yes","No","H"
"5004","Glass","Fasnakyle","278","1991","","No","Yes","No","H"
"6001","Ness","Ness Castle Farm","1792","1935","1963","No","Yes","No","H"
"6003","Moriston","Invermoriston","391","1929","1945","Yes","Yes","No",""
"6006","Allt Bhlaraidh","Invermoriston","28","1951","1962","No","Yes","No",""
"6007","Ness","Ness-side","1839","1973","","No","Yes","No","H"
"6008","Enrick","Mill of Tore","106","1979","","Yes","Yes","No","N"
"6009","Moriston","Levishie","403","1994","2011","No","Yes","No","H"
"6011","Tarff","Ardachy Bridge","76","1993","","No","Yes","No",""
"6012","Enrick","White Bridge","56","2007","","Yes","Yes","No",""
"6013","Mill Burn","Dirriebught House","9","1998","","No","Yes","No",""
"7001","Findhorn","Shenachie","416","1960","","Yes","Yes","No","N"
"7002","Findhorn","Forres","782","1958","","Yes","Yes","No","N"
"7003","Lossie","Sheriffmills","216","1963","","Yes","Yes","No","P"
"7004","Nairn","Firhall","313","1979","","Yes","Yes","No","PN"
"7005","Divie","Dunphail","165","1982","","Yes","Yes","No","N"
"7006","Lossie","Torwinny","20","1986","2015","No","Yes","No","N"
"7007","Black Burn","Monaughty","44","1990","2012","No","Yes","No","P"
"7008","Nairn","Balnafoich","128","1993","","Yes","Yes","No",""
"7009","Mosset Burn","Wardend Bridge","28","1998","","No","Yes","No","N"
"7010","Muckle Burn","Brodie","81","2005","","Yes","Yes","No",""
"7011","Black Burn","Pluscarden Abbey","36","2012","","Yes","Yes","No",""
"7012","Lossie","Ballachraggan","","2015","","No","Yes","No",""
"8001","Spey","Aberlour","2655","1938","1974","No","Yes","No","H"
"8002","Spey","Kinrara","1012","1951","","Yes","Yes","No","H"
"8003","Spey","Ruthven Bridge","534","1951","1973","No","Yes","No","H"
"8004","Avon","Delnashaugh","543","1952","","Yes","Yes","No","N"
"8005","Spey","Boat of Garten","1268","1951","","Yes","Yes","No","H"
"8006","Spey","Boat o Brig","2861","1952","","Yes","Yes","No","H"
"8007","Spey","Invertruim","400","1952","","Yes","Yes","No","H"
"8008","Tromie","Tromie Bridge","130","1952","2010","Yes","Yes","No","H"
"8009","Dulnain","Balnaan Bridge","272","1952","","Yes","Yes","No","N"
"8010","Spey","Grantown","1749","1953","","Yes","Yes","No","H"
"8011","Livet","Minmore","104","1981","","Yes","Yes","No","N"
"8013","Feshie","Feshie Bridge","231","1992","","Yes","Yes","No","N"
"8015","Fiddich","Auchindoun","45","1991","2010","No","Yes","No","N"
"8016","Conglass Water","Auchriachan","41","1992","1995","No","Yes","No","N"
"8017","Burn of Carron","Dailuaine","15","1991","1994","No","Yes","No","EI"
"8018","Avon","Tomintoul","185","1993","2003","No","Yes","No","N"
"8021","Nethy","Forest Lodge","39","1996","2008","No","Yes","No",""
"9001","Deveron","Avochie","442","1959","","Yes","Yes","No","N"
"9002","Deveron","Muiresk","955","1960","","Yes","Yes","No","N"
"9003","Isla","Grange","176","1960","","Yes","Yes","No","N"
"9004","Bogie","Redcraig","179","1980","","Yes","Yes","No","N"
"9005","Allt Deveron","Cabrach","67","1948","","No","Yes","No","N"
"9006","Deskford Burn","Cullen","47","1989","","No","Yes","No","I"
"9007","Forgue Burn","Inverkeithny","88","1990","1995","No","Yes","No","N"
"9008","Burn of Boyne","Scotsmill","53","1999","2011","No","Yes","No",""
"9009","Idoch Water","Turriff","95","1993","2011","No","Yes","No",""
"9010","Deveron","Huntly","225","2009","","Yes","Yes","No",""
"10001","Ythan","Ardlethen","448","1965","1983","Yes","Yes","No",""
"10002","Ugie","Inverugie","325","1971","","Yes","Yes","No","N"
"10003","Ythan","Ellon","523","1983","","Yes","Yes","No","N"
"11001","Don","Parkhill","1273","1969","","Yes","Yes","No","N"
"11002","Don","Haughton","787","1969","","Yes","Yes","No","N"
"11003","Don","Bridge of Alford","499","1973","","Yes","Yes","No","N"
"11004","Urie","Pitcaple","198","1984","","Yes","Yes","No","N"
"11005","Don","Mill of Newe","187","1989","1994","No","Yes","No","N"
"11006","Don","Culfork","103","1997","","No","Yes","No","N"
"12001","Dee","Woodend","1370","1929","","Yes","Yes","No","N"
"12002","Dee","Park","1844","1973","","Yes","Yes","No","PN"
"12003","Dee","Polhollick","690","1975","","Yes","Yes","No","N"
"12004","Girnock Burn","Littlemill","30","1969","2012","No","Yes","No","N"
"12005","Muick","Invermuick","110","1976","","Yes","Yes","No","N"
"12006","Gairn","Invergairn","150","1978","","Yes","Yes","No","N"
"12007","Dee","Mar Lodge","289","1982","","Yes","Yes","No","N"
"12008","Feugh","Heugh Head","229","1985","","Yes","Yes","No","PN"
"12009","Water of Dye","Charr","42","1990","","No","Yes","No","P"
"13001","Bervie","Inverbervie","123","1979","","Yes","Yes","No","N"
"13002","Luther Water","Luther Bridge","138","1982","","No","Yes","No","N"
"13003","South Esk","Stannochy Bridge","487","1977","1982","No","Yes","No",""
"13004","Prosen Water","Prosen Bridge","104","1984","","No","Yes","No","N"
"13005","Lunan Water","Kirkton Mill","124","1981","","No","Yes","No","I"
"13007","North Esk","Logie Mill","732","1976","","No","Yes","No","SPI"
"13008","South Esk","Brechin","488","1983","","No","Yes","No","I"
"13009","West Water","Dalhouse Bridge","127","1985","","No","Yes","No","N"
"13010","Brothock Water","Arbroath","50","1989","","No","Yes","No","I"
"13012","South Esk","Gella Bridge","130","1991","","No","Yes","No","N"
"13017","Colliston Burn","Colliston","8","1993","","No","Yes","No",""
"14001","Eden","Kemback","307","1967","","Yes","Yes","No","SGEI"
"14002","Dighty Water","Balmossie Mill","127","1969","","No","Yes","No","SI"
"14005","Motray Water","St Michaels","60","1983","","No","Yes","No","I"
"14006","Monikie Burn","Panbride","16","1987","1992","No","Yes","No","SI"
"14007","Craigmill Burn","Craigmill","29","1987","2010","No","Yes","No","SI"
"14009","Eden","Strathmiglo","26","1989","","No","Yes","No","N"
"14010","Motray Water","Kilmany","33","1989","2010","No","Yes","No","I"
"15001","Isla","Forter","71","1956","1968","No","Yes","No",""
"15002","Newton Burn","Newton","15","1960","1968","No","Yes","No",""
"15003","Tay","Caputh","3210","1947","","Yes","Yes","No","SH"
"15004","Inzion","Loch of Lintrathen","25","1927","1968","No","Yes","No",""
"15005","Melgan","Loch of Lintrathen","41","1927","1968","No","Yes","No","S"
"15006","Tay","Ballathie","4587","1952","","Yes","Yes","No","SPIH"
"15007","Tay","Pitnacree","1149","1957","","Yes","Yes","No","H"
"15008","Dean Water","Cookston","177","1958","2008","Yes","Yes","No","EI"
"15010","Isla","Wester Cardean","367","1972","","Yes","Yes","No","PI"
"15011","Lyon","Comrie Bridge","391","1958","","Yes","Yes","No","H"
"15012","Tummel","Pitlochry","1670","1973","","No","Yes","No","H"
"15013","Almond","Almondbank","175","1955","","Yes","Yes","No","PH"
"15014","Ardle","Kindrogan","103","1985","","No","Yes","No","N"
"15015","Almond","Newton Bridge","84","1981","","No","Yes","No","I"
"15016","Tay","Kenmore","601","1974","","Yes","Yes","No","H"
"15017","Braan","Ballinloan","197","1975","1980","No","Yes","No",""
"15018","Lyon","Moar","161","1953","1958","No","Yes","No",""
"15021","Lunan Burn","Mill Bank","94","1983","","No","Yes","No","IN"
"15023","Braan","Hermitage","210","1982","","No","Yes","No","N"
"15024","Dochart","Killin","239","1983","","No","Yes","No","I"
"15025","Ericht","Craighall","432","1984","","No","Yes","No","N"
"15027","Garry Burn","Loakmill","20","1986","2011","No","Yes","No","I"
"15028","Ordie Burn","Luncarty","54","1985","","No","Yes","No","I"
"15029","Alyth Burn","Pitcrocknie","32","1991","1995","No","Yes","No","I"
"15030","Dean Water","Dean Bridge","230","1989","","No","Yes","No",""
"15032","Ordie Burn","Jackstone","20","1990","1996","No","Yes","No","I"
"15034","Garry","Killiecrankie","745","1991","","No","Yes","No",""
"15035","Tummel","Kinloch Rannoch","647","1990","2007","No","Yes","No","SRH"
"15038","Gaur","Bridge of Gaur","247","1991","2007","No","Yes","No","S"
"15039","Tilt","Marble Lodge","165","1992","","No","Yes","No","N"
"15041","Lyon","Camusvrachan","237","1991","2009","No","Yes","No","R"
"15046","Garry Burn","Loakmill","","2010","","No","Yes","No","I"
"16001","Earn","Kinkell Bridge","591","1951","","Yes","Yes","No","PH"
"16002","Earn","Aberuchill","177","1955","1977","No","Yes","No","H"
"16003","Ruchill Water","Cultybraggan","100","1970","","Yes","Yes","No","N"
"16004","Earn","Forteviot Bridge","782","1972","","Yes","Yes","No","PH"
"16007","Ruthven Water","Aberuthven","50","1989","","No","Yes","No","E"
"17001","Carron","Headswood","122","1969","","Yes","Yes","No","SE"
"17002","Leven","Leven","424","1969","2000","No","Yes","No","SREI"
"17003","Bonny Water","Bonnybridge","51","1972","","No","Yes","No","EI"
"17004","Ore","Balfour Mains","162","1973","","No","Yes","No","EI"
"17005","Avon","Polmonthill","195","1972","","Yes","Yes","No","EI"
"17008","South Queich","Kinross","34","1967","","No","Yes","No","N"
"17012","Red Burn","Castlecary","22","1977","2009","No","Yes","No","E"
"17015","North Queich","Lathro","23","1983","","No","Yes","No","N"
"17016","Lochty Burn","Whinnyhall","14","1980","2009","No","Yes","No","GI"
"17018","Greens Burn","Damleys Cottage","11","1994","","No","Yes","No",""
"18001","Allan Water","Kinbuck","161","1958","","No","Yes","No","N"
"18002","Devon","Glenochil","181","1959","","No","Yes","No","SI"
"18003","Teith","Bridge of Teith","518","1957","","No","Yes","No","SPI"
"18005","Allan Water","Bridge of Allan","210","1971","","Yes","Yes","No","I"
"18007","Devon","Fossoway Bridge","70","1972","1991","No","Yes","No","SR"
"18008","Leny","Anie","190","1974","","No","Yes","No","N"
"18010","Forth","Gargunnock","397","1977","","No","Yes","No","N"
"18011","Forth","Craigforth","1036","1972","","No","Yes","No","N"
"18013","Black Devon","Fauld Mill","56","1977","","No","Yes","No","P"
"18014","Bannock Burn","Bannockburn","24","1979","","No","Yes","No","P"
"18015","Eas Gobhain","Loch Venachar","202","1979","","No","Yes","No","RP"
"18016","Kelty Water","Clashmore","3","1982","2010","No","Yes","No","N"
"18017","Monachyle Burn","Balquhidder","8","1982","","No","Yes","No","N"
"18018","Kirkton Burn","Balquhidder","7","1983","","No","Yes","No","N"
"18019","Comer Burn","Comer","1","1981","1988","No","Yes","No","N"
"18020","Loch Ard Burn","Duchray","1","1985","","No","Yes","No","N"
"18021","Loch Ard Burn","Elrig","1","1985","","No","Yes","No","N"
"18022","Avon Dhu","Milton","45","1989","","No","Yes","No",""
"18023","Monachyle Burn","Upper Monachyle","2","1987","","Yes","Yes","No","N"
"19001","Almond","Craigiehall","369","1957","","Yes","Yes","No","PEI"
"19002","Almond","Almond Weir","44","1962","2008","Yes","Yes","No","E"
"19003","Breich Water","Breich Weir","52","1961","1980","No","Yes","No","E"
"19004","North Esk","Dalmore Weir","82","1960","","Yes","Yes","No","SEI"
"19005","Almond","Almondell","229","1963","","Yes","Yes","No","PEI"
"19006","Water of Leith","Murrayfield","107","1963","","Yes","Yes","No","SR"
"19007","Esk","Musselburgh","330","1962","","Yes","Yes","No","SPEI"
"19008","South Esk","Prestonholm","112","1964","1990","Yes","Yes","No","SG"
"19009","Bog Burn","Cobbinshaw","9","1963","2005","No","Yes","No","S"
"19010","Braid Burn","Liberton","16","1969","","Yes","Yes","No","N"
"19011","North Esk","Dalkeith Palace","137","1975","2012","Yes","Yes","No","GN"
"19012","Water of Leith","Colinton","72","1976","","No","Yes","No","SR"
"19014","Brox Burn","Newliston","34","1977","","No","Yes","No",""
"19017","Gogar Burn","Turnhouse","39","1977","","No","Yes","No","P"
"19020","Almond","Whitburn","30","1978","","No","Yes","No","EN"
"19021","South Esk","Cowbridge","156","1990","","No","Yes","No",""
"20001","Tyne","East Linton","307","1961","","Yes","Yes","No","EI"
"20002","West Peffer Burn","Luffness","26","1968","","No","Yes","No","I"
"20003","Tyne","Spilmersford","161","1965","","Yes","Yes","No","I"
"20004","East Peffer Burn","Lochhouses","31","1967","1993","No","Yes","No","I"
"20005","Birns Water","Saltoun Hall","93","1976","2001","Yes","Yes","No","N"
"20006","Biel Water","Belton House","52","1973","1998","Yes","Yes","No","N"
"20007","Gifford Water","Lennoxlove","64","1973","","Yes","Yes","No","N"
"20008","Brox Burn","Broxmouth","20","1967","","No","Yes","No",""
"21001","Fruid Water","Fruid","24","1959","1968","Yes","Yes","No","SP"
"21002","Whiteadder Water","Hungry Snout","46","1955","1968","No","Yes","No","SP"
"21003","Tweed","Peebles","694","1959","","Yes","Yes","No","SP"
"21005","Tweed","Lyne Ford","373","1961","","Yes","Yes","No","SP"
"21006","Tweed","Boleside","1500","1961","","Yes","Yes","No","SP"
