"Station.number";"Catchment.area";"Station.level";"Factors.affecting.runoff";"Mean.GDF";"Maximum.GDF";"Q95";"Q70";"Q50";"Q10";"Base.flow.index";"QMED";"Start.of.peak.flow.record";"End.of.peak.flow.record";"Minimum.altitude";"X50.percentile.altitude";"X90.percentile.altitude";"Maximum.altitude";"SAAR.1961.1990..mm.";"SAAR.1941.1970..mm.";"ALTBAR..m.";"ASPBAR..Â..";"ASPVAR..Â..";"BFIHOST....";"CENTROID.easting..m.";"CENTROID.northing..m.";"DPLBAR..km.";"DPSBAR..m.km.";"FARL";"FPDBAR..m.";"FPEXT";"FPLOC..m.";"IH.DTM.area..kmÂ².";"IH.DTM.height..m.";"LDP..km.";"PROPWET";"SPRHOST....";"URBCON1990";"URBCON2000";"URBEXT1990";"URBEXT2000";"URBLOC1990";"URBLOC2000";"N_couple";"Distance"
"10001";"450";"7.5";"1";"6.8";"57";"1.6";"3.4";"5";"14";"0.72";"50";"1939";"1985";"6.9";"110";"160";"380";"830";"860";"110";"120";"0.14";"0.61";;;"24";"57";"0.99";"0.39";"0.043";"0.91";"460";"6.9";"52";"0.42";"28";;;"7e-04";"0.0013";;;"48";"381.4011969"
"27001";"480";"18";"72";"7.7";"240";"1.5";"2.7";"4.1";"18";"0.48";"120";"1934";;"19";"160";"420";"700";"960";"970";"200";"93";"0.22";"0.41";;;"37";"75";"0.95";"0.92";"0.085";"0.51";"490";"19";"76";"0.37";"40";"0.78";"0.85";"0.025";"0.032";"0.61";"0.63";"48";"381.4011969"
"10001";"450";"7.5";"1";"6.8";"57";"1.6";"3.4";"5";"14";"0.72";"50";"1939";"1985";"6.9";"110";"160";"380";"830";"860";"110";"120";"0.14";"0.61";;;"24";"57";"0.99";"0.39";"0.043";"0.91";"460";"6.9";"52";"0.42";"28";;;"7e-04";"0.0013";;;"50";"442.5695689"
"27006";"370";"30";"58";"5.1";"190";"1.2";"2";"2.8";"11";"0.49";"86";"1956";;"32";"260";"410";"540";"1000";"1000";"260";"73";"0.28";"0.42";;;"24";"110";"0.88";"0.36";"0.03";"0.74";"360";"32";"51";"0.37";"38";"0.79";"0.9";"0.11";"0.13";"0.45";"0.47";"50";"442.5695689"
"10001";"450";"7.5";"1";"6.8";"57";"1.6";"3.4";"5";"14";"0.72";"50";"1939";"1985";"6.9";"110";"160";"380";"830";"860";"110";"120";"0.14";"0.61";;;"24";"57";"0.99";"0.39";"0.043";"0.91";"460";"6.9";"52";"0.42";"28";;;"7e-04";"0.0013";;;"55";"431.9447165"
"27021";"1300";"4.4";"55";"16";"310";"5";"7.5";"10";"33";"0.57";"170";"1959";;"5.3";"120";"310";"540";"800";"800";"150";"77";"0.2";"0.49";;;"47";"77";"0.92";"0.62";"0.057";"0.8";"1300";"8.8";"83";"0.34";"30";"0.75";"0.88";"0.12";"0.13";"0.85";"0.87";"55";"431.9447165"
"10001";"450";"7.5";"1";"6.8";"57";"1.6";"3.4";"5";"14";"0.72";"50";"1939";"1985";"6.9";"110";"160";"380";"830";"860";"110";"120";"0.14";"0.61";;;"24";"57";"0.99";"0.39";"0.043";"0.91";"460";"6.9";"52";"0.42";"28";;;"7e-04";"0.0013";;;"260";"439.2076744"
"69027";"150";"43";"58";"4.1";"62";"1.3";"2";"2.8";"8.1";"0.55";"60";"1943";;"40";"240";"480";"580";"1200";"1200";"260";"260";"0.27";"0.37";;;"29";"120";"0.9";"0.92";"0.06";"0.76";"150";"40";"48";"0.54";"43";"0.77";"0.86";"0.11";"0.15";"0.61";"0.64";"260";"439.2076744"
"12001";"1400";"71";"17";"37";"780";"8.3";"19";"27";"75";"0.53";"440";"1929";;"71";"510";"820";"1300";"1100";"1200";"510";"93";"0.07";"0.51";;;"60";"190";"0.98";"0.7";"0.047";"0.82";"1400";"71";"110";"0.62";"40";;;"5e-04";"0.001";;;"796";"78.67937148"
"15003";"3200";"36";"50";"140";"1500";"36";"72";"110";"280";"0.64";"860";"1951";;"36";"440";"740";"1200";"1600";"1600";"460";"120";"0.06";"0.44";;;"67";"190";"0.81";"0.85";"0.041";"0.94";"3200";"36";"120";"0.69";"45";;;"7e-04";"7e-04";;;"796";"78.67937148"
"12001";"1400";"71";"17";"37";"780";"8.3";"19";"27";"75";"0.53";"440";"1929";;"71";"510";"820";"1300";"1100";"1200";"510";"93";"0.07";"0.51";;;"60";"190";"0.98";"0.7";"0.047";"0.82";"1400";"71";"110";"0.62";"40";;;"5e-04";"0.001";;;"1145";"618.63006"
"53006";"150";"20";"17";"1.7";"54";"0.18";"0.42";"0.74";"4.3";"0.37";"32";"1961";;"23";"66";"110";"190";"790";"800";"73";"290";"0.09";"0.36";;;"14";"29";"0.99";"0.94";"0.15";"1";"150";"23";"28";"0.35";"43";"0.76";"0.88";"0.072";"0.11";"0.79";"0.83";"1145";"618.63006"
"12001";"1400";"71";"17";"37";"780";"8.3";"19";"27";"75";"0.53";"440";"1929";;"71";"510";"820";"1300";"1100";"1200";"510";"93";"0.07";"0.51";;;"60";"190";"0.98";"0.7";"0.047";"0.82";"1400";"71";"110";"0.62";"40";;;"5e-04";"0.001";;;"1269";"89.40024817"
"7001";"420";"250";"17";"14";"270";"2.1";"4.8";"7.9";"32";"0.35";"280";"1960";;"250";"560";"760";"940";"1200";"1400";"560";"24";"0.11";"0.45";;;"26";"140";"0.98";"0.63";"0.039";"0.76";"420";"250";"51";"0.68";"56";;;"2e-04";"2e-04";;;"1269";"89.40024817"
"12001";"1400";"71";"17";"37";"780";"8.3";"19";"27";"75";"0.53";"440";"1929";;"71";"510";"820";"1300";"1100";"1200";"510";"93";"0.07";"0.51";;;"60";"190";"0.98";"0.7";"0.047";"0.82";"1400";"71";"110";"0.62";"40";;;"5e-04";"0.001";;;"1317";"67.81299636"
"8010";"1700";"190";"14";"38";"480";"11";"20";"29";"75";"0.58";"240";"1951";;"190";"460";"780";"1300";"1200";"1200";"500";"13";"0.05";"0.48";;;"51";"160";"0.94";"0.96";"0.061";"0.83";"1700";"190";"100";"0.69";"46";;;"5e-04";"0.0012";;;"1317";"67.81299636"
"15003";"3200";"36";"50";"140";"1500";"36";"72";"110";"280";"0.64";"860";"1951";;"36";"440";"740";"1200";"1600";"1600";"460";"120";"0.06";"0.44";;;"67";"190";"0.81";"0.85";"0.041";"0.94";"3200";"36";"120";"0.69";"45";;;"7e-04";"7e-04";;;"2269";"7.081880008"
"15006";"4600";"26";"62";"170";"2000";"44";"87";"130";"340";"0.65";"990";"1952";;"22";"400";"720";"1200";"1400";"1400";"410";"140";"0.07";"0.47";;;"70";"170";"0.85";"0.92";"0.053";"0.81";"4600";"22";"130";"0.58";"43";;;"0.0014";"0.0015";;;"2269";"7.081880008"
"15003";"3200";"36";"50";"140";"1500";"36";"72";"110";"280";"0.64";"860";"1951";;"36";"440";"740";"1200";"1600";"1600";"460";"120";"0.06";"0.44";;;"67";"190";"0.81";"0.85";"0.041";"0.94";"3200";"36";"120";"0.69";"45";;;"7e-04";"7e-04";;;"2270";"21.07178309"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"2270";"21.07178309"
"15003";"3200";"36";"50";"140";"1500";"36";"72";"110";"280";"0.64";"860";"1951";;"36";"440";"740";"1200";"1600";"1600";"460";"120";"0.06";"0.44";;;"67";"190";"0.81";"0.85";"0.041";"0.94";"3200";"36";"120";"0.69";"45";;;"7e-04";"7e-04";;;"2274";"27.38828398"
"16001";"590";"15";"27";"23";"310";"3.1";"9.1";"15";"50";"0.51";"200";"1948";;"19";"300";"600";"980";"1500";"1500";"320";"140";"0.11";"0.49";;;"31";"180";"0.89";"0.73";"0.056";"0.72";"580";"19";"56";"0.63";"41";;;"0.0017";"0.0025";;;"2274";"27.38828398"
"15003";"3200";"36";"50";"140";"1500";"36";"72";"110";"280";"0.64";"860";"1951";;"36";"440";"740";"1200";"1600";"1600";"460";"120";"0.06";"0.44";;;"67";"190";"0.81";"0.85";"0.041";"0.94";"3200";"36";"120";"0.69";"45";;;"7e-04";"7e-04";;;"2782";"80.80590989"
"8005";"1300";"200";"14";"30";"350";"8.6";"16";"22";"57";"0.59";"170";"1951";;"200";"500";"810";"1300";"1300";"1300";"520";"350";"0.04";"0.47";;;"47";"170";"0.92";"0.97";"0.059";"0.84";"1300";"200";"88";"0.7";"48";;;"5e-04";"0.0011";;;"2782";"80.80590989"
"15003";"3200";"36";"50";"140";"1500";"36";"72";"110";"280";"0.64";"860";"1951";;"36";"440";"740";"1200";"1600";"1600";"460";"120";"0.06";"0.44";;;"67";"190";"0.81";"0.85";"0.041";"0.94";"3200";"36";"120";"0.69";"45";;;"7e-04";"7e-04";;;"2784";"69.25645676"
"8007";"400";"240";"14";"6.1";"200";"1.7";"3";"3.8";"10";"0.51";"100";"1952";;"230";"480";"790";"1000";"1400";"1400";"520";"310";"0.03";"0.41";;;"22";"180";"0.94";"0.81";"0.054";"0.81";"400";"230";"41";"0.75";"51";;;"1e-04";"0";;;"2784";"69.25645676"
"15003";"3200";"36";"50";"140";"1500";"36";"72";"110";"280";"0.64";"860";"1951";;"36";"440";"740";"1200";"1600";"1600";"460";"120";"0.06";"0.44";;;"67";"190";"0.81";"0.85";"0.041";"0.94";"3200";"36";"120";"0.69";"45";;;"7e-04";"7e-04";;;"2786";"85.86273379"
"8009";"270";"220";"17";"6.1";"160";"1.1";"2.4";"3.7";"13";"0.44";"88";"1952";;"220";"450";"670";"880";"1000";"1100";"460";"94";"0.19";"0.5";;;"21";"120";"0.99";"0.58";"0.051";"0.68";"270";"220";"44";"0.68";"47";;;"2e-04";"6e-04";;;"2786";"85.86273379"
"15003";"3200";"36";"50";"140";"1500";"36";"72";"110";"280";"0.64";"860";"1951";;"36";"440";"740";"1200";"1600";"1600";"460";"120";"0.06";"0.44";;;"67";"190";"0.81";"0.85";"0.041";"0.94";"3200";"36";"120";"0.69";"45";;;"7e-04";"7e-04";;;"2787";"87.37643198"
"8010";"1700";"190";"14";"38";"480";"11";"20";"29";"75";"0.58";"240";"1951";;"190";"460";"780";"1300";"1200";"1200";"500";"13";"0.05";"0.48";;;"51";"160";"0.94";"0.96";"0.061";"0.83";"1700";"190";"100";"0.69";"46";;;"5e-04";"0.0012";;;"2787";"87.37643198"
"15006";"4600";"26";"62";"170";"2000";"44";"87";"130";"340";"0.65";"990";"1952";;"22";"400";"720";"1200";"1400";"1400";"410";"140";"0.07";"0.47";;;"70";"170";"0.85";"0.92";"0.053";"0.81";"4600";"22";"130";"0.58";"43";;;"0.0014";"0.0015";;;"2918";"27.92334337"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"2918";"27.92334337"
"15006";"4600";"26";"62";"170";"2000";"44";"87";"130";"340";"0.65";"990";"1952";;"22";"400";"720";"1200";"1400";"1400";"410";"140";"0.07";"0.47";;;"70";"170";"0.85";"0.92";"0.053";"0.81";"4600";"22";"130";"0.58";"43";;;"0.0014";"0.0015";;;"2922";"29.34463392"
"16001";"590";"15";"27";"23";"310";"3.1";"9.1";"15";"50";"0.51";"200";"1948";;"19";"300";"600";"980";"1500";"1500";"320";"140";"0.11";"0.49";;;"31";"180";"0.89";"0.73";"0.056";"0.72";"580";"19";"56";"0.63";"41";;;"0.0017";"0.0025";;;"2922";"29.34463392"
"15006";"4600";"26";"62";"170";"2000";"44";"87";"130";"340";"0.65";"990";"1952";;"22";"400";"720";"1200";"1400";"1400";"410";"140";"0.07";"0.47";;;"70";"170";"0.85";"0.92";"0.053";"0.81";"4600";"22";"130";"0.58";"43";;;"0.0014";"0.0015";;;"3410";"84.95270178"
"8005";"1300";"200";"14";"30";"350";"8.6";"16";"22";"57";"0.59";"170";"1951";;"200";"500";"810";"1300";"1300";"1300";"520";"350";"0.04";"0.47";;;"47";"170";"0.92";"0.97";"0.059";"0.84";"1300";"200";"88";"0.7";"48";;;"5e-04";"0.0011";;;"3410";"84.95270178"
"15006";"4600";"26";"62";"170";"2000";"44";"87";"130";"340";"0.65";"990";"1952";;"22";"400";"720";"1200";"1400";"1400";"410";"140";"0.07";"0.47";;;"70";"170";"0.85";"0.92";"0.053";"0.81";"4600";"22";"130";"0.58";"43";;;"0.0014";"0.0015";;;"3415";"90.85623884"
"8010";"1700";"190";"14";"38";"480";"11";"20";"29";"75";"0.58";"240";"1951";;"190";"460";"780";"1300";"1200";"1200";"500";"13";"0.05";"0.48";;;"51";"160";"0.94";"0.96";"0.061";"0.83";"1700";"190";"100";"0.69";"46";;;"5e-04";"0.0012";;;"3415";"90.85623884"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"3811";"80.75680485"
"7001";"420";"250";"17";"14";"270";"2.1";"4.8";"7.9";"32";"0.35";"280";"1960";;"250";"560";"760";"940";"1200";"1400";"560";"24";"0.11";"0.45";;;"26";"140";"0.98";"0.63";"0.039";"0.76";"420";"250";"51";"0.68";"56";;;"2e-04";"2e-04";;;"3811";"80.75680485"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"3841";"54.97100528"
"8002";"1000";"210";"14";"23";"290";"6";"11";"16";"46";"0.55";"160";"1951";;"210";"520";"810";"1300";"1300";"1300";"530";"10";"0.02";"0.45";;;"37";"180";"0.93";"0.97";"0.057";"0.82";"1000";"210";"71";"0.71";"50";;;"3e-04";"6e-04";;;"3841";"54.97100528"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"3844";"65.85198052"
"8005";"1300";"200";"14";"30";"350";"8.6";"16";"22";"57";"0.59";"170";"1951";;"200";"500";"810";"1300";"1300";"1300";"520";"350";"0.04";"0.47";;;"47";"170";"0.92";"0.97";"0.059";"0.84";"1300";"200";"88";"0.7";"48";;;"5e-04";"0.0011";;;"3844";"65.85198052"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"3846";"49.09262365"
"8007";"400";"240";"14";"6.1";"200";"1.7";"3";"3.8";"10";"0.51";"100";"1952";;"230";"480";"790";"1000";"1400";"1400";"520";"310";"0.03";"0.41";;;"22";"180";"0.94";"0.81";"0.054";"0.81";"400";"230";"41";"0.75";"51";;;"1e-04";"0";;;"3846";"49.09262365"
"15007";"1100";"61";"14";"59";"600";"13";"30";"45";"120";"0.63";"350";"1951";;"66";"460";"750";"1200";"2000";"1900";"470";"83";"0.06";"0.44";;;"47";"230";"0.84";"0.92";"0.037";"0.91";"1100";"66";"89";"0.7";"45";;;"5e-04";"7e-04";;;"3848";"71.56679169"
