Station.number;Catchment.area;Station.level;Factors.affecting.runoff;Mean.GDF;Maximum.GDF;Q95;Q70;Q50;Q10;Base.flow.index;QMED;Start.of.peak.flow.record;End.of.peak.flow.record;Minimum.altitude;X50.percentile.altitude;X90.percentile.altitude;Maximum.altitude;SAAR.1961.1990..mm.;SAAR.1941.1970..mm.;ALTBAR..m.;ASPBAR..Â..;ASPVAR..Â..;BFIHOST....;CENTROID.easting..m.;CENTROID.northing..m.;DPLBAR..km.;DPSBAR..m.km.;FARL;FPDBAR..m.;FPEXT;FPLOC..m.;IH.DTM.area..kmÂ².;IH.DTM.height..m.;LDP..km.;PROPWET;SPRHOST....;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000;N_couple;Distance
10001;450;7.5;1;6.8;57;1.6;3.4;5;14;0.72;50;1939;1985;6.9;110;160;380;830;860;110;120;0.14;0.61;;;24;57;0.99;0.39;0.043;0.91;460;6.9;52;0.42;28;;;7.00E-04;0.0013;;;1;45.67131802
12001;1400;71;17;37;780;8.3;19;27;75;0.53;440;1929;;71;510;820;1300;1100;1200;510;93;0.07;0.51;;;60;190;0.98;0.7;0.047;0.82;1400;71;110;0.62;40;;;5.00E-04;0.001;;;1;45.67131802
10001;450;7.5;1;6.8;57;1.6;3.4;5;14;0.72;50;1939;1985;6.9;110;160;380;830;860;110;120;0.14;0.61;;;24;57;0.99;0.39;0.043;0.91;460;6.9;52;0.42;28;;;7.00E-04;0.0013;;;4;98.92208478
15004;25;200;1;0.56;6.3;0.13;0.27;0.4;1.1;0.64;;;;210;370;490;670;1100;1100;370;170;0.27;0.53;;;6.4;190;1;0.29;0.029;0.44;24;210;11;0.53;36;;;0;0;;;4;98.92208478
10001;450;7.5;1;6.8;57;1.6;3.4;5;14;0.72;50;1939;1985;6.9;110;160;380;830;860;110;120;0.14;0.61;;;24;57;0.99;0.39;0.043;0.91;460;6.9;52;0.42;28;;;7.00E-04;0.0013;;;8;101.4810248
15008;180;45;3;2.6;35;0.59;1.1;1.7;5.7;0.59;27;1953;;46;130;250;450;840;880;140;15;0.12;0.62;;;14;59;0.97;1;0.13;0.83;180;46;26;0.38;37;0.75;0.82;0.011;0.015;1.1;1.1;8;101.4810248
10001;450;7.5;1;6.8;57;1.6;3.4;5;14;0.72;50;1939;1985;6.9;110;160;380;830;860;110;120;0.14;0.61;;;24;57;0.99;0.39;0.043;0.91;460;6.9;52;0.42;28;;;7.00E-04;0.0013;;;9;151.31216
16001;590;15;27;23;310;3.1;9.1;15;50;0.51;200;1948;;19;300;600;980;1500;1500;320;140;0.11;0.49;;;31;180;0.89;0.73;0.056;0.72;580;19;56;0.63;41;;;0.0017;0.0025;;;9;151.31216
10001;450;7.5;1;6.8;57;1.6;3.4;5;14;0.72;50;1939;1985;6.9;110;160;380;830;860;110;120;0.14;0.61;;;24;57;0.99;0.39;0.043;0.91;460;6.9;52;0.42;28;;;7.00E-04;0.0013;;;20;202.2540236
21003;690;160;53;16;310;3.5;6.7;10;35;0.55;180;1939;;160;320;540;840;1100;1200;360;25;0.05;0.52;;;25;180;0.97;0.61;0.051;0.85;700;160;50;0.56;37;;;0.0019;0.0025;;;20;202.2540236
10001;450;7.5;1;6.8;57;1.6;3.4;5;14;0.72;50;1939;1985;6.9;110;160;380;830;860;110;120;0.14;0.61;;;24;57;0.99;0.39;0.043;0.91;460;6.9;52;0.42;28;;;7.00E-04;0.0013;;;26;201.7182466
21010;2100;67;53;43;610;8;18;29;93;0.52;;;;67;320;500;840;1100;1100;340;96;0.09;0.51;;;51;170;0.97;0.62;0.043;0.94;2100;67;100;0.51;37;;;0.0028;0.003;;;26;201.7182466
10001;450;7.5;1;6.8;57;1.6;3.4;5;14;0.72;50;1939;1985;6.9;110;160;380;830;860;110;120;0.14;0.61;;;24;57;0.99;0.39;0.043;0.91;460;6.9;52;0.42;28;;;7.00E-04;0.0013;;;33;269.5539514
23001;2200;14;43;45;1500;6;15;26;100;0.38;850;1956;;15;260;470;890;1000;1100;290;83;0.09;0.32;;;55;94;0.96;0.72;0.05;0.84;2200;15;94;0.51;48;;;0.002;0.0026;;;33;269.5539514
10001;450;7.5;1;6.8;57;1.6;3.4;5;14;0.72;50;1939;1985;6.9;110;160;380;830;860;110;120;0.14;0.61;;;24;57;0.99;0.39;0.043;0.91;460;6.9;52;0.42;28;;;7.00E-04;0.0013;;;40;294.242592
24005;180;44;11;1.6;67;0.23;0.54;0.87;3.4;0.49;38;1954;;47;200;290;380;740;750;200;90;0.25;0.33;;;20;78;1;0.29;0.026;0.79;180;47;35;0.41;39;0.65;0.81;0.027;0.031;0.79;0.78;40;294.242592
10001;450;7.5;1;6.8;57;1.6;3.4;5;14;0.72;50;1939;1985;6.9;110;160;380;830;860;110;120;0.14;0.61;;;24;57;0.99;0.39;0.043;0.91;460;6.9;52;0.42;28;;;7.00E-04;0.0013;;;49;386.9582607
27002;760;14;79;18;480;2.6;6.2;10;43;0.41;240;1936;;12;260;490;700;1200;1200;270;140;0.13;0.39;;;59;110;0.93;0.81;0.053;0.77;760;12;110;0.43;43;0.65;0.78;0.01;0.016;0.54;0.57;49;386.9582607
