"Station number","River","Location","Catchment area","SAAR 1961-1990 (mm)","SAAR 1941-1970 (mm)"
"1001","Wick","Tarroul","162","930","920"
"2001","Helmsdale","Kilphedir","551","1100","1100"
"2002","Brora","Bruachrobie","434","1200","1200"
"3001","Shin","Lairg","495","1600","1600"
"3002","Carron","Sgodachail","241","1800","2000"
"3003","Oykel","Easter Turnaig","331","1900","2000"
"3004","Cassley","Rosehall","188","2300","2100"
"3005","Shin","Inveran","575","1500","1500"
"3006","Loch Ailsh","Loch Ailsh","44","2600","2200"
"4001","Conon","Moy Bridge","962","1800","1800"
"4003","Alness","Alness","201","1400","1500"
"4004","Blackwater","Contin","337","1600","1700"
"4005","Meig","Glenmeanie","121","2100","2100"
"4006","Bran","Dosmucheran","116","2200","2000"
"4007","Blackwater","Garve","289","1700","1800"
"4008","Newhall Burn","Newhall Bridge","41","780","800"
"4009","Peffery","Strathpeffer STW","17","1100","1100"
"4010","Meig","Loch Beannacharain","71","2400","2300"
"4011","Meig","Corrievuic","58","2500","2400"
"5001","Beauly","Erchless","850","2200","2200"
"5002","Farrar","Struy","311","2200","2100"
"5003","Glass","Kerrow Wood","482","2200","2300"
"5004","Glass","Fasnakyle","278","2200","2400"
"6001","Ness","Ness Castle Farm","1792","1800","1800"
"6003","Moriston","Invermoriston","391","2100","2100"
"6006","Allt Bhlaraidh","Invermoriston","28","1600","1600"
"6007","Ness","Ness-side","1839","1800","1800"
"6008","Enrick","Mill of Tore","106","1300","1300"
"6009","Moriston","Levishie","403","2100","2200"
"6011","Tarff","Ardachy Bridge","76","1600","1700"
"6012","Enrick","White Bridge","56","1300","1400"
"6013","Mill Burn","Dirriebught House","9","780","790"
"7001","Findhorn","Shenachie","416","1200","1400"
"7002","Findhorn","Forres","782","1100","1200"
"7003","Lossie","Sheriffmills","216","830","890"
"7004","Nairn","Firhall","313","940","1100"
"7005","Divie","Dunphail","165","870","920"
"7006","Lossie","Torwinny","20","960","960"
"7007","Black Burn","Monaughty","44","810","880"
"7008","Nairn","Balnafoich","128","1000","1200"
"7009","Mosset Burn","Wardend Bridge","28","800","850"
"7010","Muckle Burn","Brodie","81","810","870"
"7011","Black Burn","Pluscarden Abbey","36","810","870"
"7012","Lossie","Ballachraggan","","940","970"
"8001","Spey","Aberlour","2655","1100","1200"
"8002","Spey","Kinrara","1012","1300","1300"
"8003","Spey","Ruthven Bridge","534","1400","1400"
"8004","Avon","Delnashaugh","543","1100","1200"
"8005","Spey","Boat of Garten","1268","1300","1300"
"8006","Spey","Boat o Brig","2861","1100","1200"
"8007","Spey","Invertruim","400","1400","1400"
"8008","Tromie","Tromie Bridge","130","1400","1500"
"8009","Dulnain","Balnaan Bridge","272","1000","1100"
"8010","Spey","Grantown","1749","1200","1200"
"8011","Livet","Minmore","104","1000","1100"
"8013","Feshie","Feshie Bridge","231","1300","1400"
"8015","Fiddich","Auchindoun","45","1000","1200"
"8016","Conglass Water","Auchriachan","41","1000","1200"
"8017","Burn of Carron","Dailuaine","15","900","890"
"8018","Avon","Tomintoul","185","1300","1400"
"8021","Nethy","Forest Lodge","39","1300","1400"
"9001","Deveron","Avochie","442","990","1100"
"9002","Deveron","Muiresk","955","930","990"
"9003","Isla","Grange","176","900","960"
"9004","Bogie","Redcraig","179","960","1000"
"9005","Allt Deveron","Cabrach","67","1100","1200"
"9006","Deskford Burn","Cullen","47","820","830"
"9007","Forgue Burn","Inverkeithny","88","870","880"
"9008","Burn of Boyne","Scotsmill","53","830","850"
"9009","Idoch Water","Turriff","95","830","910"
"9010","Deveron","Huntly","225","1000","1100"
